Property,Category Name,Fans (Latest in Date Range),Post Type,Promoted,Total Actions,Total Actions (Percent Share),Link to Post,Content of Post,Reactions,Comments,Shares,Views,Views (7 Days),Views (28 Days),Views (90 Days),Clicks,Was Live,Branded Content,Branded Content Sponsor,Link to Branded Content Sponsor,Date Published (UTC)
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,41,1.07%,https://www.facebook.com/117917151585263/posts/1495784480465183,Ocean Spray updated their cover photo.,39,0,2,0,0,0,0,0,,FALSE,n/a,n/a,2017-07-05T18:56:15+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",video,,41,1.07%,https://www.facebook.com/117917151585263/posts/1459485840761714,"Going on a weekend bike ride? Let us tag along! Whether it's a road trip or an afternoon stroll, our single-serve juice drinks and Craisins® Dried Cranberries are the perfect (and delicious) companions. http://bit.ly/2q3NvIu",28,3,10,"2,857","2,604","2,777","2,843",2,,FALSE,n/a,n/a,2017-06-11T15:15:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,40,1.04%,https://www.facebook.com/117917151585263/posts/1563801640330133,The Jazmyn Simon from #Ballers styled with this season's hottest accessory… Cranberry Cocktails! Thanks for stopping by the Kari Feinstein Public Relations #StyleLounge yesterday! We can't wait for Sunday's #Primetime #TVAwards,37,3,0,0,0,0,0,0,,FALSE,n/a,n/a,2017-09-15T18:24:47+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",video,,40,1.04%,https://www.facebook.com/117917151585263/posts/1557163444327286,Brighten up your drink with these Tropical Sun Garnishes! Pairs best with our ready-to-drink Tropical Paradise Mocktails. #happierhour http://bit.ly/2xQy5YS,35,0,5,"1,725","1,561","1,685","1,725",15,,FALSE,n/a,n/a,2017-09-07T17:59:39+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",link,,39,1.01%,https://www.facebook.com/117917151585263/posts/1459467367430228,Try our Light Cranberry Mousse for a refreshingly fruity dessert!,27,1,11,0,0,0,0,132,,FALSE,n/a,n/a,2017-06-23T18:30:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,38,0.99%,https://www.facebook.com/117917151585263/posts/1597657620277868,"Whether you're having a party or a cozy get-together this weekend, this Ultimate Baked Brie is nearly impossible to resist. With its combination of warm, melted cheese and tangy cranberries, it makes for the ultimate party pleaser. http://spr.ly/61868CMij",29,4,5,0,0,0,0,0,,FALSE,n/a,n/a,2017-10-25T16:00:01+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",video,Promoted,38,0.99%,https://www.facebook.com/117917151585263/posts/1525280404182257,Make wherever you happy hour a paradise with a Tropical Paradise mocktail. #happierhour http://bit.ly/2u43zgH,29,7,2,"1,365","1,141","1,260","1,363",7,,FALSE,n/a,n/a,2017-08-02T15:52:51+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",video,,38,0.99%,https://www.facebook.com/117917151585263/posts/1459484080761890,Looking for healthy and simple snack options? We think our Ladybugs on a Log are just the thing! http://bit.ly/1nRZcZo,32,2,4,"3,846","3,649","3,709","3,837",32,,FALSE,n/a,n/a,2017-07-17T19:36:59+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",video,,38,0.99%,https://www.facebook.com/117917151585263/posts/1459483197428645,Twist (and turn) things up by topping off your Mocktail with a beautiful Twisted Peach Garnish! It makes a peachy keen final touch! http://bit.ly/2smgjdI,27,4,7,"3,457","3,320","3,387","3,446",8,,FALSE,n/a,n/a,2017-07-08T13:00:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",link,,38,0.99%,https://www.facebook.com/117917151585263/posts/1459470264096605,"Morning or evening, our sweet and crunchy Cranberry Almond Biscotti is the perfect accompaniment to a good cup of coffee.",25,0,13,0,0,0,0,66,,FALSE,n/a,n/a,2017-06-06T14:30:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",link,,38,0.99%,https://www.facebook.com/117917151585263/posts/1392438430799789,"Bring some crunch to your lunch with this Turkey, Cranberry and Feta Salad!",25,0,13,0,0,0,0,57,,FALSE,n/a,n/a,2017-06-04T14:30:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,34,0.88%,https://www.facebook.com/117917151585263/posts/1564002180310079,Thanks The Aly Mawji #BernardWhite #ChrisWilliams and Suzanne Cryer for venturing out of #SiliconValley to check out our #cranberry bog and bar at the Kari Feinstein Public Relations Style Lounge in #Hollywood #TVAwards,31,1,2,0,0,0,0,0,,FALSE,n/a,n/a,2017-09-15T23:56:06+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",video,,34,0.88%,https://www.facebook.com/117917151585263/posts/1519908721386092,Happy hour already? Make it an even #happierhour with Cranberry Peach Bellini Mocktails. http://bit.ly/2uBVNsR,24,6,4,"3,152","2,777","2,932","3,150",19,,FALSE,n/a,n/a,2017-07-27T20:21:43+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,33,0.86%,https://www.facebook.com/117917151585263/posts/1564502613593369,From one superfruit to another superstar- thanks Beverley Mitchell for stopping by our cranberry bog at the Kari Feinstein Public Relations #StyleLounge #7thHeaven #HollywoodDarlings #TVAwards,30,3,0,0,0,0,0,0,,FALSE,n/a,n/a,2017-09-16T15:10:35+00:00
