ISSUE_DATE,ISSUE_TIME,FINE_AMOUNT,TICKET_LOCATION_STREET,VIOLATION DESCRIPTION,TIME,DOW
5/18/16,9:16,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME STREET MTR,9,Wed
4/26/16,11:28,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,11,Tue
12/1/16,13:58,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,13,Thu
11/30/16,11:26,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,11,Wed
11/30/16,11:25,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,11,Wed
3/1/17,10:10,$150.00,LOT 12A - ONYX-LAWRENCE,RESERVE & TOW,10,Wed
6/16/16,11:16,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,11,Thu
6/2/16,14:19,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,14,Thu
6/29/16,10:27,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,10,Wed
7/15/16,9:11,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,9,Fri
12/5/16,15:59,$75.00,LOT 12A - ONYX-LAWRENCE,FIRELANE/HYDRANT,15,Mon
12/13/16,10:06,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,10,Tue
1/21/16,10:53,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,10,Thu
12/9/16,4:44,$35.00,LOT 12A - ONYX-LAWRENCE,NO OVERNIGHT PARKING,4,Fri
12/2/16,7:33,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,7,Fri
12/1/16,13:59,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,13,Thu
12/1/16,4:56,$35.00,LOT 12A - ONYX-LAWRENCE,NO OVERNIGHT PARKING,4,Thu
12/1/16,4:57,$35.00,LOT 12A - ONYX-LAWRENCE,NO OVERNIGHT PARKING,4,Thu
12/1/16,4:58,$35.00,LOT 12A - ONYX-LAWRENCE,NO OVERNIGHT PARKING,4,Thu
11/30/16,9:01,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,9,Wed
11/22/16,16:28,$150.00,LOT 12A - ONYX-LAWRENCE,RESERVE & TOW,16,Tue
11/22/16,16:36,$35.00,LOT 12A - ONYX-LAWRENCE,YELLOW ZONE,16,Tue
11/22/16,10:15,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,10,Tue
11/22/16,16:40,$470.00,LOT 12A - ONYX-LAWRENCE,DISABLED SPACE PSTD,16,Tue
11/22/16,10:12,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,10,Tue
11/18/16,10:37,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,10,Fri
11/16/16,8:20,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,8,Wed
11/15/16,8:49,$150.00,LOT 12A - ONYX-LAWRENCE,RESERVE & TOW,8,Tue
11/11/16,11:38,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,11,Fri
12/7/16,11:20,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,11,Wed
12/6/16,16:40,$150.00,LOT 12A - ONYX-LAWRENCE,RESERVE & TOW,16,Tue
12/5/16,11:17,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,11,Mon
12/5/16,11:18,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,11,Mon
11/4/16,11:20,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,11,Fri
12/6/16,16:43,$150.00,LOT 12A - ONYX-LAWRENCE,RESERVE & TOW,16,Tue
12/6/16,13:21,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,13,Tue
10/18/16,11:13,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,11,Tue
10/17/16,11:02,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,11,Mon
12/5/16,16:00,$75.00,LOT 12A - ONYX-LAWRENCE,TOWING FEE,16,Mon
12/5/16,11:35,$75.00,LOT 12A - ONYX-LAWRENCE,RESERVED SPACE,11,Mon
12/5/16,11:18,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,11,Mon
11/14/16,15:41,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,15,Mon
11/14/16,15:16,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,15,Mon
11/14/16,10:19,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,10,Mon
11/14/16,10:18,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,10,Mon
11/16/16,11:36,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,11,Wed
11/8/16,11:02,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,11,Tue
11/7/16,8:36,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,8,Mon
11/4/16,11:17,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,11,Fri
11/2/16,14:27,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,14,Wed
11/2/16,14:28,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,14,Wed
11/2/16,14:29,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,14,Wed
8/17/16,11:23,$35.00,LOT 12A - ONYX-LAWRENCE,YELLOW ZONE,11,Wed
